Draw,Date,Winning Number 1,Winning Number 2,Winning Number 3,Winning Number 4,Winning Number 5,Winning Number 6,Additional Number ,From Last,Odd,Even, 1-10, 11-20, 21-30, 31-40, 41-50,Division 1 Winners,Division 1 Prize,Division 2 Winners,Division 2 Prize,Division 3 Winners,Division 3 Prize,Division 4 Winners,Division 4 Prize,Division 5 Winners,Division 5 Prize,Division 6 Winners,Division 6 Prize,Division 7 Winners,Division 7 Prize
3667,7/6/2021,7,14,23,31,39,41,33,"7,39",5,1,1,1,1,2,1,0.0,0.0,1.0,249782.0,99.0,1735.0,237.0,396.0,5357.0,50.0,6739.0,25.0,93856.0,10.0
3666,3/6/2021,1,7,21,26,30,39,40,30,4,2,2,0,3,1,0,1.0,1104725.0,2.0,116287.0,86.0,1860.0,251.0,348.0,5127.0,50.0,7224.0,25.0,97246.0,10.0
3663,24/5/2021,11,18,23,31,32,33,49,"18,32",4,2,0,2,1,3,0,3.0,3166852.0,7.0,141051.0,480.0,1415.0,896.0,414.0,23569.0,50.0,24872.0,25.0,395292.0,10.0
3661,17/5/2021,5,6,11,36,41,46,8,5,3,3,2,1,0,1,2,0.0,0.0,1.0,304206.0,111.0,1885.0,442.0,259.0,6522.0,50.0,12817.0,25.0,125477.0,10.0
3659,10/5/2021,6,18,32,33,34,45,8,6,2,4,1,1,0,3,1,1.0,1202447.0,1.0,491129.0,75.0,2321.0,248.0,383.0,4394.0,50.0,7371.0,25.0,84696.0,10.0
3658,6/5/2021,4,6,12,20,31,35,47,35,2,4,2,2,0,2,0,5.0,226083.0,0.0,0.0,146.0,1121.0,187.0,478.0,6567.0,50.0,5847.0,25.0,115382.0,10.0
3656,29/4/2021,2,19,22,29,36,43,5,"2,36",3,3,1,1,2,1,1,0.0,0.0,2.0,121923.0,90.0,1863.0,283.0,324.0,4917.0,50.0,8516.0,25.0,88952.0,10.0
3654,22/4/2021,3,17,22,32,38,48,41,17,2,4,1,1,1,2,1,2.0,5341373.0,8.0,133503.0,461.0,1593.0,939.0,427.0,21515.0,50.0,26588.0,25.0,398255.0,10.0
3653,19/4/2021,8,10,16,17,20,43,32,10,2,4,2,3,0,0,1,0.0,0.0,2.0,288024.0,213.0,1860.0,560.0,386.0,13324.0,50.0,15124.0,25.0,244782.0,10.0
3652,15/4/2021,10,14,23,25,35,46,39,23,3,3,1,1,2,1,1,0.0,0.0,2.0,167339.0,133.0,1730.0,288.0,436.0,6477.0,50.0,7874.0,25.0,120248.0,10.0
3650,8/4/2021,7,8,9,14,28,35,4,9,3,3,3,1,1,1,0,1.0,2934881.0,6.0,59686.0,256.0,962.0,750.0,180.0,11766.0,50.0,20177.0,25.0,187054.0,10.0
3649,5/4/2021,9,11,15,17,25,40,5,"11,15",5,1,1,3,1,1,0,0.0,0.0,4.0,64940.0,150.0,1191.0,605.0,161.0,7236.0,50.0,15737.0,25.0,118687.0,10.0
3648,1/4/2021,10,11,15,21,29,44,26,15,4,2,1,2,2,0,1,3.0,3682728.0,5.0,224548.0,560.0,1379.0,1273.0,331.0,26255.0,50.0,33793.0,25.0,465680.0,10.0
3647,29/3/2021,14,15,20,23,30,35,39,20,3,3,0,3,2,1,0,0.0,0.0,3.0,199827.0,237.0,1739.0,507.0,444.0,12758.0,50.0,15097.0,25.0,227505.0,10.0
3646,25/3/2021,4,16,17,20,22,44,38,"20,44",1,5,1,3,1,0,1,0.0,0.0,1.0,333012.0,138.0,1660.0,323.0,387.0,7212.0,50.0,8182.0,25.0,129257.0,10.0
3645,22/3/2021,2,12,20,35,37,44,17,"2,12",2,4,1,2,0,2,1,0.0,0.0,2.0,135353.0,78.0,2387.0,252.0,403.0,4894.0,50.0,7268.0,25.0,95932.0,10.0
3644,18/3/2021,2,5,12,24,25,29,3,12,3,3,2,1,3,0,0,1.0,1199310.0,8.0,31561.0,244.0,712.0,633.0,150.0,9360.0,50.0,13762.0,25.0,129262.0,10.0
3643,15/3/2021,12,15,19,28,35,43,44,"12,19",4,2,0,3,1,1,1,1.0,1291532.0,1.0,271902.0,103.0,1815.0,211.0,484.0,5687.0,50.0,6243.0,25.0,105907.0,10.0
3638,26/2/2021,21,24,40,42,44,48,1,48,1,5,0,0,2,1,3,5.0,2386178.0,27.0,79833.0,844.0,1756.0,2033.0,398.0,42397.0,50.0,55675.0,25.0,754339.0,10.0
3637,22/2/2021,3,6,8,11,36,48,1,6,2,4,3,1,0,1,1,0.0,0.0,8.0,44535.0,223.0,1099.0,869.0,154.0,12062.0,50.0,20463.0,25.0,185456.0,10.0
3636,18/2/2021,1,4,6,15,40,44,37,40,2,4,3,1,0,1,1,1.0,3778784.0,6.0,74237.0,217.0,1412.0,428.0,391.0,10803.0,50.0,11247.0,25.0,185785.0,10.0
3634,11/2/2021,10,23,25,28,46,49,36,"10,25",3,3,1,0,3,0,2,2.0,774896.0,1.0,326272.0,157.0,1429.0,271.0,452.0,6691.0,50.0,8285.0,25.0,120531.0,10.0
3633,8/2/2021,9,10,25,27,34,42,29,9,3,3,2,0,2,1,1,4.0,3126334.0,14.0,101482.0,595.0,1642.0,1495.0,357.0,30936.0,50.0,42419.0,25.0,563013.0,10.0
3632,5/2/2021,8,9,11,24,26,47,34,9,3,3,2,1,2,0,1,0.0,0.0,7.0,173137.0,562.0,1483.0,1241.0,367.0,30498.0,50.0,33770.0,25.0,546604.0,10.0
3631,1/2/2021,4,6,9,18,27,39,33,6,3,3,3,1,1,1,0,2.0,2981835.0,14.0,47378.0,383.0,1191.0,979.0,255.0,18438.0,50.0,21639.0,25.0,300198.0,10.0
3629,25/1/2021,8,9,12,17,33,39,48,"8,17",4,2,2,2,0,2,0,0.0,0.0,1.0,260447.0,168.0,1066.0,233.0,420.0,7861.0,50.0,7227.0,25.0,132140.0,10.0
3628,21/1/2021,8,11,15,17,19,35,45,35,5,1,1,4,0,1,0,1.0,1173182.0,4.0,61747.0,131.0,1297.0,309.0,300.0,7796.0,50.0,7138.0,25.0,127487.0,10.0
3627,18/1/2021,2,12,23,33,35,37,43,"12,23",4,2,1,1,1,3,0,1.0,1242653.0,4.0,65403.0,112.0,1606.0,244.0,403.0,5458.0,50.0,6444.0,25.0,101045.0,10.0
3624,7/1/2021,1,7,9,12,32,36,17,12,3,3,3,1,0,2,0,1.0,1203865.0,5.0,50690.0,132.0,1321.0,499.0,191.0,8459.0,50.0,12650.0,25.0,144089.0,10.0
3623,4/1/2021,4,5,8,12,27,42,14,"5,8",2,4,3,1,1,0,1,3.0,3625796.0,14.0,88382.0,714.0,1192.0,1625.0,286.0,34985.0,50.0,42801.0,25.0,590333.0,10.0
3622,1/1/2021,5,8,13,16,35,47,2,47,4,2,2,2,0,1,1,0.0,0.0,6.0,219457.0,450.0,1504.0,1236.0,299.0,23112.0,50.0,31922.0,25.0,404191.0,10.0
3619,21/12/2020,4,8,15,31,36,39,47,8,3,3,2,1,0,3,0,1.0,5276378.0,2.0,284571.0,213.0,1838.0,453.0,472.0,11486.0,50.0,13978.0,25.0,219869.0,10.0
3616,10/12/2020,10,17,22,23,27,33,34,33,4,2,1,1,3,1,0,1.0,1078941.0,0.0,0.0,102.0,1531.0,237.0,360.0,5889.0,50.0,6274.0,25.0,99499.0,10.0
3615,7/12/2020,7,13,14,33,37,48,24,7,4,2,1,2,0,2,1,1.0,1157744.0,3.0,81246.0,94.0,1783.0,205.0,446.0,4694.0,50.0,6126.0,25.0,85693.0,10.0
3613,30/11/2020,2,3,25,33,35,49,10,"2,35",5,1,2,0,1,2,1,0.0,0.0,2.0,159561.0,98.0,2239.0,319.0,376.0,5544.0,50.0,9120.0,25.0,108720.0,10.0
3611,23/11/2020,1,7,11,22,30,45,48,22,4,2,2,1,2,0,1,1.0,1087867.0,2.0,114513.0,130.0,1212.0,216.0,398.0,6914.0,50.0,5901.0,25.0,116132.0,10.0
3606,5/11/2020,3,19,25,33,40,44,37,"3,44",4,2,1,1,1,2,1,0.0,0.0,3.0,75333.0,72.0,2158.0,216.0,393.0,3958.0,50.0,5356.0,25.0,77107.0,10.0
3605,2/11/2020,3,36,37,44,48,49,35,37,3,3,1,0,0,2,3,1.0,2621371.0,1.0,320890.0,142.0,1554.0,235.0,513.0,5456.0,50.0,7422.0,25.0,102715.0,10.0
3603,26/10/2020,2,8,11,19,41,49,27,11,4,2,2,2,0,0,2,0.0,0.0,2.0,1425353.0,142.0,1519.0,354.0,333.0,7686.0,50.0,10106.0,25.0,137812.0,10.0
3602,22/10/2020,11,25,28,30,34,36,24,"11,25",2,4,0,1,3,2,0,0.0,0.0,2.0,110283.0,73.0,2078.0,173.0,479.0,4386.0,50.0,5583.0,25.0,81827.0,10.0
3600,15/10/2020,14,27,28,31,46,48,7,"14,48",2,4,0,1,2,1,2,0.0,0.0,1.0,223795.0,61.0,2523.0,173.0,486.0,3617.0,50.0,5693.0,25.0,69452.0,10.0
3598,8/10/2020,2,3,7,12,21,34,41,7,3,3,3,1,1,1,0,0.0,0.0,3.0,935268.0,168.0,1216.0,314.0,355.0,9435.0,50.0,8143.0,25.0,145882.0,10.0
3597,5/10/2020,7,10,14,15,39,44,1,"7,10",3,3,2,2,0,1,1,0.0,0.0,2.0,115539.0,100.0,1589.0,277.0,313.0,4691.0,50.0,8066.0,25.0,89526.0,10.0
3591,14/9/2020,2,11,13,15,28,45,36,15,4,2,1,3,1,0,1,1.0,1027357.0,1.0,216286.0,83.0,1792.0,195.0,416.0,4934.0,50.0,5512.0,25.0,89419.0,10.0
3590,10/9/2020,15,21,27,36,39,43,45,36,5,1,0,1,2,2,1,1.0,2331676.0,6.0,45203.0,99.0,1884.0,228.0,447.0,5024.0,50.0,6359.0,25.0,93512.0,10.0
3588,3/9/2020,4,16,27,32,44,47,9,16,2,4,1,1,1,1,2,1.0,1000000.0,3.0,69624.0,76.0,1890.0,271.0,290.0,3663.0,50.0,6019.0,25.0,68585.0,10.0
